Precipitacion_mm,ONI,Radiacion_Solar,Humedad_Relativa,Temp_Min_C,Mes,Velocidad_Viento,irca,VolumenUtilDiarioMasa
5.12,-0.22,15.74,87.39,8.96,6,1.49,0,0
1.4,-0.34,13.31,86.93,9.34,7,1.87,0,0
1.54,-0.48,15.09,83.31,9.65,8,1.56,0,0
4.09,-0.52,16.54,82.05,9.39,9,1.51,0,0
3.79,-0.89,16.67,86.03,11.22,10,1.23,0,0
2.72,-0.89,16.87,86.12,11.32,11,1.11,0,0
1.14,-0.96,17.04,82.75,11.78,12,1.22,0,0
1.39,-0.77,16.59,76.89,10.75,1,1.17,0,0
4.25,-0.74,13.97,80.86,10.93,2,1.23,0,0
7.17,-0.87,14.35,88.08,11.75,3,1.14,0,0
11.22,-0.99,13.83,88.48,10.59,4,1.17,0,0
17.83,-1.0,14.7,90.5,10.57,5,1.32,0,0
10.26,-0.69,14.36,90.3,9.56,6,1.24,0,0
12.99,-0.65,14.92,89.88,9.78,7,1.42,0,0
8.65,-0.93,16.11,88.76,8.92,8,1.41,0,0
6.99,-1.03,15.88,86.38,10.41,9,1.25,0,0
9.11,-0.94,16.47,88.35,9.91,10,0.97,0,0
6.67,-0.85,14.64,90.9,11.64,11,0.79,0,0
3.39,-0.75,18.49,88.61,8.21,12,1.05,0,0
7.93,-0.55,16.57,88.77,7.28,1,1.1,0,0
1.75,-0.31,18.9,85.55,7.78,2,1.42,0,0
5.31,-0.01,12.36,88.16,11.98,3,1.04,0,0
10.47,0.25,13.26,90.19,10.8,4,1.05,0,0
12.93,0.57,15.05,90.13,10.98,5,1.36,0,0
10.72,0.89,15.28,89.78,9.87,6,1.69,0,0
9.27,1.07,14.42,90.69,10.44,7,1.83,0,0
7.02,1.39,17.06,87.26,9.08,8,1.51,0,0
7.46,1.64,17.62,86.47,10.8,9,1.44,0,0
9.19,1.77,17.22,86.21,10.15,10,0.95,0,0
8.01,2.08,15.92,89.21,11.27,11,1.17,0,0
7.57,2.13,15.35,90.89,10.84,12,1.12,0,0
0.22,1.98,20.68,84.17,9.58,1,1.44,0,0
2.26,1.67,15.84,84.49,11.78,2,1.32,0,0
3.67,1.22,14.31,85.44,11.01,3,1.31,0,0
7.46,0.89,16.25,86.73,10.98,4,1.34,0,0
16.96,0.34,14.23,90.81,12.23,5,1.39,0,0
9.98,0.23,15.43,90.88,10.39,6,1.45,0,0
6.16,0.09,13.45,90.85,9.17,7,1.69,0,0
3.46,-0.07,16.16,86.94,9.54,8,1.54,0,0
3.16,-0.22,16.78,84.21,10.92,9,1.51,0,0
8.42,-0.22,18.41,86.6,10.49,10,1.25,0,0
8.59,-0.19,14.97,89.95,9.72,11,0.92,0,0
6.79,-0.49,15.63,90.07,10.66,12,1.12,0,0
3.78,-0.56,17.08,87.56,9.19,1,1.37,1,0
2.74,-0.28,14.39,86.99,11.95,2,1.29,1,1
8.34,0.11,14.04,89.42,10.54,3,1.2,1,1
17.6,-0.02,15.21,90.95,10.37,4,1.23,1,1
14.69,-0.02,14.8,92.16,11.01,5,1.51,1,1
15.78,-0.01,13.97,91.95,9.02,6,1.64,1,1
7.3,-0.1,13.59,91.46,10.05,7,1.81,1,1
9.65,-0.32,15.45,91.08,9.79,8,1.7,1,1
6.33,-0.43,16.06,90.03,10.59,9,1.61,1,1
7.1,-0.45,15.53,90.75,10.35,10,1.28,1,1
4.84,-0.64,15.03,90.55,11.33,11,1.22,1,1
1.83,-0.57,16.57,88.96,9.56,12,1.02,1,1
3.3,0.68,19.42,83.61,11.63,1,1.04,0,0
1.55,0.57,19.75,81.71,14.52,2,0.97,0,0
5.5,0.57,18.97,80.68,14.89,3,1.01,0,0
9.01,0.82,16.33,88.67,14.86,4,1.05,0,0
6.65,1.03,16.86,89.15,14.64,5,0.92,0,0
9.4,1.23,14.67,90.41,13.31,6,0.87,0,0
8.81,1.5,16.56,88.5,12.04,7,0.86,0,0
5.34,1.97,15.66,88.08,13.97,8,0.86,0,0
4.33,2.24,20.38,84.38,13.15,9,0.86,0,0
6.16,2.41,18.76,84.24,13.64,10,0.82,0,0
8.98,2.77,17.28,89.68,13.71,11,0.86,0,0
2.26,2.76,18.34,85.51,13.22,12,0.9,0,0
0.26,2.73,22.33,73.76,13.82,1,0.87,0,0
1.55,2.39,18.94,72.33,14.07,2,1.0,0,0
4.96,1.71,17.43,77.44,16.67,3,1.04,0,0
13.29,1.02,15.98,88.68,15.04,4,0.88,0,0
10.23,0.41,15.62,89.75,14.81,5,0.84,0,0
6.97,0.03,15.88,89.12,12.88,6,0.82,0,0
7.19,-0.43,14.79,88.91,13.4,7,0.82,0,0
11.31,-0.53,18.29,86.87,13.02,8,0.82,0,0
8.01,-0.53,19.56,86.99,12.67,9,0.83,0,0
8.32,-0.69,18.32,88.26,14.34,10,0.82,0,0
11.55,-0.7,17.08,89.84,13.67,11,0.81,0,0
5.53,-0.4,18.8,89.9,13.32,12,0.9,0,0
1.29,-0.26,18.43,87.21,12.61,1,0.9,0,0
1.86,0.07,20.99,78.52,13.2,2,0.98,0,0
9.23,0.13,17.43,85.8,14.11,3,1.04,0,0
6.34,0.33,18.36,86.76,14.43,4,0.94,0,0
14.89,0.47,17.45,89.59,13.23,5,0.87,0,0
11.39,0.39,15.79,90.13,13.03,6,0.82,0,0
6.78,0.29,14.07,89.99,12.84,7,0.85,0,0
8.14,-0.11,18.12,88.18,12.88,8,0.84,0,0
6.51,-0.39,18.78,87.35,13.77,9,0.84,0,0
11.22,-0.51,18.37,87.86,13.59,10,0.77,0,0
10.79,-0.9,19.16,90.8,14.95,11,0.85,0,0
1.93,-0.88,20.22,87.2,12.46,12,0.91,0,0
2.31,-0.81,19.34,85.36,14.06,1,0.95,0,0
0.35,-0.63,21.22,74.61,13.46,2,0.93,0,0
4.21,-0.7,17.9,78.26,14.77,3,0.98,0,0
11.66,-0.39,13.95,89.62,14.59,4,0.97,0,0
12.94,-0.09,15.95,91.03,13.99,5,0.94,0,0
11.14,0.1,13.71,90.66,13.04,6,0.84,0,0
10.4,0.17,14.48,90.32,12.83,7,0.84,0,0
9.73,0.14,17.59,87.06,12.21,8,0.82,0,0
6.17,0.51,18.55,85.94,12.76,9,0.81,0,0
9.43,0.95,18.96,88.11,13.21,10,0.83,0,0
6.3,0.96,18.11,90.44,14.18,11,0.84,0,0
1.13,0.99,21.07,85.13,13.26,12,0.95,0,0
0.8,0.82,18.93,78.76,13.9,1,0.96,0,0
1.28,0.86,21.49,73.31,14.83,2,1.0,0,0
7.29,0.91,14.89,82.87,15.12,3,0.96,0,0
10.14,0.74,16.12,88.13,15.08,4,0.93,0,0
14.51,0.66,16.1,89.83,15.04,5,0.91,0,0
10.75,0.51,14.52,91.1,13.2,6,0.91,0,0
10.19,0.4,15.84,89.35,13.7,7,0.88,0,0
7.91,0.09,16.02,88.05,13.25,8,0.87,0,0
7.68,0.07,19.02,85.28,12.99,9,0.85,0,0
9.67,0.53,17.58,87.38,13.13,10,0.89,0,0
10.26,0.58,17.94,91.41,15.25,11,0.86,0,0
2.82,0.63,18.3,90.09,15.12,12,0.92,0,0
1.1,0.78,20.15,81.05,12.2,1,0.96,0,0
2.53,0.52,21.61,74.82,13.31,2,1.0,0,0
5.07,0.58,19.19,77.7,13.44,3,0.98,0,0
8.17,0.48,17.11,86.58,13.92,4,0.99,0,0
9.3,-0.16,15.79,89.93,14.2,5,0.89,0,0
14.23,-0.28,17.15,89.33,12.64,6,0.96,0,0
10.7,-0.25,15.9,88.92,12.9,7,0.88,0,0
5.72,-0.54,15.64,88.08,12.77,8,0.86,0,0
6.83,-0.79,18.87,86.05,12.92,9,0.84,0,0
1.39,-1.2,19.06,81.31,12.93,10,0.8,0,0
0.99,-1.36,16.41,81.98,15.2,11,0.81,0,0
2.51,-1.05,19.31,79.0,14.45,12,0.91,0,0
3.09,-0.82,19.73,80.22,13.03,1,0.91,0,0
4.21,-0.85,19.54,80.46,14.19,2,0.9,0,0
3.76,-0.69,16.34,82.81,13.84,3,1.01,0,0
5.32,-0.6,18.03,86.49,13.73,4,1.08,0,0
0.0,-0.35,15.63,82.93,14.26,5,1.05,0,0
1.58,-0.22,16.37,78.6,13.14,6,1.12,0,0
0.29,-0.34,14.49,77.08,13.04,7,1.24,0,0
0.16,-0.48,16.62,71.29,13.98,8,1.26,0,0
1.68,-0.52,18.29,71.52,13.59,9,1.22,0,0
2.31,-0.89,17.93,79.33,14.89,10,1.22,0,0
1.79,-0.89,20.8,77.52,15.43,11,1.14,0,0
1.48,-0.96,19.89,74.82,15.24,12,1.06,0,0
1.26,-0.77,19.75,65.84,14.67,1,1.04,0,0
4.14,-0.74,17.28,73.44,15.13,2,1.07,0,0
7.13,-0.87,17.21,86.51,15.07,3,1.05,0,0
11.91,-0.99,16.72,87.6,14.6,4,0.97,0,0
18.32,-1.0,15.63,90.43,13.86,5,0.92,0,0
10.63,-0.69,14.2,90.58,12.83,6,0.92,0,0
13.35,-0.65,16.35,89.53,13.47,7,0.89,0,0
9.64,-0.93,17.88,87.75,12.74,8,0.88,0,0
7.76,-1.03,17.49,86.78,13.05,9,0.87,0,0
9.27,-0.94,18.5,88.45,12.74,10,0.91,0,0
6.75,-0.85,16.41,91.71,13.95,11,0.86,0,0
3.67,-0.75,20.71,87.09,11.63,12,0.93,0,0
7.56,-0.55,19.72,86.31,11.49,1,0.97,0,0
1.76,-0.31,21.2,80.16,12.19,2,1.03,0,0
5.22,-0.01,16.71,84.51,14.78,3,0.98,0,0
10.64,0.25,15.68,89.33,14.5,4,0.96,0,0
13.4,0.57,16.46,89.58,14.26,5,0.94,0,0
11.57,0.89,16.01,89.33,12.67,6,0.87,0,0
9.67,1.07,16.46,89.91,13.89,7,0.91,0,0
7.43,1.39,18.82,86.38,12.63,8,0.87,0,0
7.61,1.64,19.82,86.19,14.18,9,0.9,0,0
9.11,1.77,19.13,86.01,13.85,10,0.82,0,0
8.35,2.08,18.22,88.74,14.06,11,0.84,0,0
7.39,2.13,17.39,90.75,14.81,12,0.92,0,0
0.22,1.98,22.29,78.54,13.99,1,0.98,0,0
2.42,1.67,18.83,79.62,15.45,2,0.96,0,0
4.11,1.22,17.48,81.31,15.76,3,0.99,0,0
7.31,0.89,17.51,83.72,15.53,4,1.03,0,0
16.85,0.34,15.53,90.35,15.21,5,0.95,0,0
10.53,0.23,16.52,90.64,13.68,6,0.91,0,0
6.62,0.09,14.41,90.7,12.06,7,0.9,0,0
3.84,-0.07,17.55,86.46,13.08,8,0.9,0,0
3.45,-0.22,18.65,82.15,13.17,9,0.88,0,0
8.71,-0.22,20.43,85.9,14.08,10,0.93,0,0
8.62,-0.19,17.86,89.78,14.16,11,0.9,0,0
6.42,-0.49,18.53,88.6,14.96,12,0.94,0,0
3.54,-0.56,18.88,83.56,12.66,1,0.99,1,0
2.74,-0.28,18.94,82.52,15.05,2,1.03,1,1
7.99,0.11,17.47,87.21,15.09,3,1.04,1,1
15.76,-0.02,16.5,89.59,14.29,4,0.94,1,1
15.34,-0.02,16.64,91.25,14.54,5,0.95,1,1
16.64,-0.01,15.04,91.16,13.48,6,0.92,1,1
8.24,-0.1,15.15,90.83,13.44,7,0.94,1,1
9.68,-0.32,17.31,89.98,13.59,8,0.95,1,1
5.93,-0.43,18.51,88.55,13.45,9,0.91,1,1
8.38,-0.45,17.67,89.81,13.79,10,0.92,1,1
5.0,-0.64,16.61,90.11,15.03,11,0.92,1,1
2.01,-0.57,19.42,88.17,13.42,12,0.88,1,1
2.72,0.68,18.08,86.48,4.13,1,1.24,0,0
1.58,0.57,17.02,86.09,8.53,2,1.0,0,0
5.16,0.57,16.49,85.61,9.33,3,1.01,0,0
7.57,0.82,14.99,88.02,9.19,4,1.14,0,0
4.77,1.03,15.8,87.61,7.86,5,1.17,0,0
6.23,1.23,14.63,88.49,7.6,6,1.69,0,0
6.16,1.5,15.47,87.05,6.3,7,1.52,0,0
3.9,1.97,14.37,86.86,8.41,8,1.53,0,0
3.27,2.24,17.29,84.12,6.01,9,1.39,0,0
4.87,2.41,16.08,85.36,8.06,10,1.03,0,0
7.38,2.77,15.34,88.54,8.49,11,0.78,0,0
1.56,2.76,16.73,85.78,7.18,12,1.48,0,0
0.3,2.73,20.69,82.23,7.6,1,0.71,0,0
1.33,2.39,17.04,82.05,8.24,2,1.13,0,0
4.23,1.71,17.33,83.3,9.89,3,0.93,0,0
11.0,1.02,14.28,87.45,9.7,4,0.69,0,0
7.04,0.41,14.79,88.15,9.04,5,1.02,0,0
5.11,0.03,15.22,87.2,8.05,6,1.31,0,0
4.93,-0.43,14.7,87.3,7.69,7,1.37,0,0
7.9,-0.53,16.07,86.1,7.25,8,1.45,0,0
5.99,-0.53,16.52,85.58,6.53,9,1.08,0,0
6.68,-0.69,16.82,87.29,7.8,10,0.68,0,0
9.02,-0.7,15.36,88.76,8.2,11,0.59,0,0
4.45,-0.4,16.47,88.34,8.45,12,0.69,0,0
1.24,-0.26,16.34,87.38,7.13,1,0.73,0,0
1.47,0.07,19.18,84.95,8.13,2,0.85,0,0
8.37,0.13,15.01,88.46,8.58,3,0.66,0,0
5.83,0.33,16.7,86.88,8.57,4,0.93,0,0
11.86,0.47,15.68,88.51,8.42,5,0.85,0,0
8.64,0.39,14.95,88.45,7.83,6,0.93,0,0
4.64,0.29,14.31,87.9,7.36,7,1.29,0,0
6.87,-0.11,16.45,86.14,7.59,8,1.03,0,0
4.81,-0.39,16.45,85.7,7.75,9,0.94,0,0
8.95,-0.51,15.79,87.07,8.29,10,0.84,0,0
8.8,-0.9,16.58,89.61,9.89,11,0.48,0,0
2.04,-0.88,17.83,86.95,5.74,12,0.68,0,0
2.15,-0.81,17.01,87.38,7.13,1,0.84,0,0
0.77,-0.63,17.9,85.15,7.36,2,0.68,0,0
3.66,-0.7,16.24,85.89,7.72,3,1.02,0,0
10.69,-0.39,13.96,89.41,9.17,4,0.79,0,0
11.07,-0.09,15.2,89.42,8.71,5,0.86,0,0
8.21,0.1,14.67,89.1,7.15,6,1.28,0,0
7.72,0.17,15.36,88.6,8.06,7,1.32,0,0
6.9,0.14,16.72,86.6,6.09,8,1.54,0,0
5.32,0.51,16.77,85.4,7.03,9,1.04,0,0
7.48,0.95,16.9,87.29,7.38,10,0.63,0,0
5.92,0.96,16.0,89.11,8.51,11,0.58,0,0
0.95,0.99,19.7,86.61,6.38,12,1.06,0,0
0.92,0.82,16.5,86.62,7.35,1,1.18,0,0
1.85,0.86,18.13,84.7,9.03,2,1.01,0,0
6.87,0.91,14.4,87.73,9.24,3,0.81,0,0
8.11,0.74,15.17,88.44,9.58,4,0.69,0,0
11.71,0.66,15.21,88.59,9.04,5,0.91,0,0
8.14,0.51,15.44,89.21,7.96,6,1.31,0,0
7.41,0.4,16.2,88.05,7.66,7,1.39,0,0
5.37,0.09,15.39,86.82,6.98,8,1.43,0,0
5.92,0.07,16.67,85.18,6.84,9,1.1,0,0
8.5,0.53,16.54,86.26,7.76,10,0.83,0,0
